tucaseid,tuactivity_n,wufnactwt,wufnactwtc,wufnactwtp,wuhapord,wuhappy,wuinteract,wumeaning,wupain,wupnord,wusad,wusadord,wustress,wustrord,wutired,wutrdord,tewhere,trtcctot_ln,trtcc_ln,trtcoc_ln,trthh_ln,trtnohh_ln,trtohh_ln,trtonhh_ln,trto_ln,trwbelig,tuactdur,tuactdur24,tucc5,tucc5b,tucc7,tucc8,tucumdur,tucumdur24,tustarttim,tustoptime,tutier1code,tutier2code,tutier3code,trcode,trtier2,txwhere,trtec_ln,tudurstop,tuec24,teage,tesex,telfs,is_alone,activity_6d,activity_group,social_context
20101111100941,13,6460781.842633,7604435.528302,6137742.750501,5,4,1,4,2,4,3,1,2,3,3,2,1,0,-1,0,-1,-1,-1,-1,-1,1,120,120,0,0,0,0,750,750,14:30:00,16:30:00,12,3,3,120303,1203,0,,,,50,1,1,False,120303,Screen-Based,With Others
20130504130913,26,2006973.368731,2006973.368731,2006973.368731,4,5,2,4,0,2,0,1,0,3,4,5,1,0,0,0,0,-1,0,-1,0,1,30,30,1,0,0,0,1050,1050,21:00:00,21:30:00,12,3,12,120312,1203,0,-1.0,1.0,-1.0,25,2,5,False,120312,Non-Screen,With Others
20130201131665,14,7874249.211235,9068121.856927,7499284.96308,4,6,1,6,0,3,0,2,0,1,3,5,1,60,-1,60,-1,-1,-1,-1,-1,1,60,60,0,0,0,1,734,734,15:14:00,16:14:00,12,3,3,120303,1203,0,0.0,1.0,-1.0,54,2,5,True,120303,Screen-Based,Alone
20100201102510,11,10368242.768992,10368242.768992,10368242.768992,4,0,2,0,5,5,2,3,0,1,0,2,1,0,-1,0,-1,-1,-1,-1,-1,1,120,120,0,0,0,0,1030,1030,19:10:00,21:10:00,12,3,3,120303,1203,0,,,,63,1,5,True,120303,Screen-Based,Alone
20101210100674,13,973528.099208,1145856.932758,924851.694247,2,3,2,1,0,1,0,5,2,3,4,4,1,0,-1,0,-1,-1,-1,-1,-1,1,15,15,0,0,0,0,779,779,16:44:00,16:59:00,12,3,3,120303,1203,0,,,,40,1,1,False,120303,Screen-Based,With Others
20120504121996,5,2492026.040212,2388289.990637,2345436.273141,2,5,2,5,0,3,1,5,0,1,1,4,1,0,-1,0,-1,-1,-1,-1,-1,1,5,5,0,0,0,0,240,240,07:55:00,08:00:00,12,3,12,120312,1203,0,-1.0,1.0,-1.0,49,1,1,True,120312,Non-Screen,Alone
20131211131874,9,9344733.730475,9344733.730475,9344733.730475,3,3,2,2,3,2,0,5,0,4,1,1,1,0,-1,0,-1,-1,-1,-1,-1,1,60,60,0,0,0,0,455,455,10:35:00,11:35:00,12,3,12,120312,1203,0,-1.0,1.0,-1.0,85,1,5,True,120312,Non-Screen,Alone
20120707120130,8,26084347.636614,30640049.421009,24221179.948284,3,5,2,3,0,4,0,5,0,1,2,2,1,0,0,0,0,0,-1,-1,-1,1,120,120,0,0,0,0,595,595,11:55:00,13:55:00,12,3,3,120303,1203,0,0.0,1.0,-1.0,19,1,5,True,120303,Screen-Based,Alone
20100807102424,6,1435135.16532,1271570.917993,1324740.152603,5,5,2,4,0,4,0,1,0,3,0,2,2,0,-1,0,-1,-1,-1,-1,-1,1,15,15,0,0,0,0,375,375,10:00:00,10:15:00,12,3,1,120301,1203,0,,,,47,1,1,False,120301,Non-Screen,With Others
20101010102225,7,11981739.208749,14102683.784898,10892490.189772,5,6,2,6,0,2,1,1,2,4,2,3,1,180,180,0,180,-1,180,-1,180,1,180,180,1,0,0,0,810,810,14:30:00,17:30:00,12,3,3,120303,1203,0,,,,39,2,5,False,120303,Screen-Based,With Others
20100808101155,10,1527086.650326,1527086.650326,1527086.650326,4,3,2,0,6,1,5,2,5,5,4,3,1,60,60,0,60,-1,60,-1,60,1,60,60,1,0,0,0,1050,1050,20:30:00,21:30:00,12,3,7,120307,1203,0,,,,51,2,5,False,120307,Screen-Based,With Others
20101009101550,12,26289758.838321,30943433.938818,24267469.696912,4,4,1,4,0,5,0,3,0,2,2,1,1,0,-1,0,-1,-1,-1,-1,-1,1,100,100,0,0,0,0,941,941,18:01:00,19:41:00,12,3,3,120303,1203,0,,,,40,1,1,False,120303,Screen-Based,With Others
20100112091000,17,11333625.742357,24231293.577691,10524081.046474,4,4,2,5,1,2,1,5,1,3,2,1,1,120,120,0,120,-1,120,-1,120,1,120,120,1,0,0,0,1157,1157,21:17:00,23:17:00,12,3,8,120308,1203,0,,,,43,1,1,False,120308,Screen-Based,With Others
20130112122011,12,9813674.537354,11301597.673843,8921522.306686,3,4,1,4,0,4,0,2,1,1,2,5,1,90,90,0,90,-1,90,-1,90,1,90,90,1,0,0,0,990,990,19:00:00,20:30:00,12,3,3,120303,1203,0,-1.0,1.0,-1.0,49,1,1,False,120303,Screen-Based,With Others
20130706131471,10,47033182.438472,47033182.438472,47033182.438472,5,5,2,4,1,1,6,4,0,3,1,2,1,0,-1,0,-1,-1,-1,-1,-1,1,180,180,0,0,0,0,617,617,11:17:00,14:17:00,12,3,12,120312,1203,0,-1.0,1.0,-1.0,65,2,5,True,120312,Non-Screen,Alone
20120111110560,15,53909443.00201,51665344.199827,49416989.418509,3,5,2,3,0,4,0,5,0,2,3,1,1,0,-1,0,-1,-1,-1,-1,-1,1,266,266,0,0,0,0,990,990,16:04:00,20:30:00,12,3,12,120312,1203,0,-1.0,2.0,-1.0,47,1,1,True,120312,Non-Screen,Alone
20101211102467,13,10973384.999899,12915836.00739,10241825.999905,4,3,2,2,0,5,0,2,0,1,0,3,2,180,180,0,180,-1,180,-1,180,1,180,180,1,0,0,0,870,870,15:30:00,18:30:00,12,3,3,120303,1203,0,,,,43,1,1,True,120303,Screen-Based,Alone
20120605120842,7,3576927.570043,3428030.114821,3388668.224251,3,6,2,6,1,1,0,5,0,4,0,2,1,0,-1,0,-1,-1,-1,-1,-1,1,60,60,0,0,0,0,310,310,08:10:00,09:10:00,12,3,12,120312,1203,0,-1.0,1.0,-1.0,79,2,5,False,120312,Non-Screen,With Others
20121009122218,4,2888691.087569,3393208.790121,2527604.701622,4,6,2,6,0,2,0,3,0,5,0,1,1,0,-1,0,-1,-1,-1,-1,-1,1,120,120,0,0,0,0,570,570,11:30:00,13:30:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,43,1,1,False,120303,Screen-Based,With Others
20120504121906,8,17191156.087755,20193637.942232,15472040.478979,2,2,1,1,1,5,3,4,1,3,1,1,1,0,0,0,0,0,-1,-1,-1,1,130,130,0,0,0,0,660,660,12:50:00,15:00:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,32,1,1,True,120303,Screen-Based,Alone
20100112091224,23,12757547.555499,15015821.652555,12317632.122551,3,4,1,2,3,4,0,2,2,5,2,1,1,0,0,0,0,0,-1,-1,-1,1,59,59,0,0,0,0,630,630,13:31:00,14:30:00,12,3,3,120303,1203,0,,,,55,2,2,False,120303,Screen-Based,With Others
20100302101204,6,2288393.237122,2027582.042147,2173973.575266,1,3,2,2,0,3,1,5,2,4,1,2,1,0,-1,0,-1,-1,-1,-1,-1,1,25,25,0,0,0,0,330,330,09:05:00,09:30:00,12,3,8,120308,1203,0,,,,61,1,4,False,120308,Screen-Based,With Others
20120807120718,5,17356608.536804,16634101.638969,16116850.784175,1,5,1,5,4,2,1,3,1,5,1,4,1,0,-1,0,-1,-1,-1,-1,-1,1,155,155,0,0,0,0,240,240,05:25:00,08:00:00,12,3,12,120312,1203,0,-1.0,1.0,-1.0,85,2,5,False,120312,Non-Screen,With Others
20101110102187,9,15517101.944527,13748597.373262,14408737.519918,3,6,1,6,0,4,0,2,0,5,2,1,10,0,-1,0,-1,-1,-1,-1,-1,1,120,120,0,0,0,0,460,460,09:40:00,11:40:00,12,3,12,120312,1203,0,,,,43,1,1,True,120312,Non-Screen,Alone
20131212130997,6,12241567.541872,12241567.541872,12241567.541872,2,4,1,4,0,5,0,3,0,1,2,4,3,0,-1,0,-1,-1,-1,-1,-1,1,60,60,0,0,0,0,850,850,17:10:00,18:10:00,12,3,3,120303,1203,0,-1.0,1.0,-1.0,24,1,1,False,120303,Screen-Based,With Others
20100807100043,7,4720990.206902,5556675.110314,4291809.279001,2,1,2,2,1,1,0,5,0,3,2,4,1,0,-1,0,-1,-1,-1,-1,-1,1,60,60,0,0,0,0,600,600,13:00:00,14:00:00,12,3,3,120303,1203,0,,,,80,2,5,False,120303,Screen-Based,With Others
20101211101441,6,37807240.482671,44499679.722404,32406206.128003,1,6,1,6,0,5,0,2,0,4,0,3,1,0,-1,0,-1,-1,-1,-1,-1,1,180,180,0,0,0,0,690,690,12:30:00,15:30:00,12,3,3,120303,1203,0,,,,56,2,1,False,120303,Screen-Based,With Others
20101110102288,3,2012095.647351,1782774.45304,1911490.864983,1,6,2,5,0,5,0,2,0,3,1,4,1,0,-1,0,-1,-1,-1,-1,-1,1,30,30,0,0,0,0,390,390,10:00:00,10:30:00,12,3,8,120308,1203,0,,,,45,1,1,False,120308,Screen-Based,With Others
20121110121502,6,956106.049233,1123092.553754,902989.046497,4,2,1,1,0,1,0,2,4,5,3,3,3,15,15,0,15,-1,15,-1,15,1,15,15,1,0,0,0,475,475,11:40:00,11:55:00,12,3,3,120303,1203,0,-1.0,1.0,-1.0,33,2,5,False,120303,Screen-Based,With Others
20100403100517,2,15822636.018405,14019309.325828,14943600.684049,5,6,1,6,5,2,0,1,0,4,0,3,1,0,-1,0,-1,-1,-1,-1,-1,1,90,90,0,0,0,0,150,150,05:00:00,06:30:00,12,3,12,120312,1203,0,,,,77,1,5,False,120312,Non-Screen,With Others
20100807100702,4,2456349.224105,2176395.863807,2251653.455429,1,3,2,6,0,4,2,2,1,5,2,3,1,0,-1,0,-1,-1,-1,-1,-1,1,60,60,0,0,0,0,390,390,09:30:00,10:30:00,12,3,8,120308,1203,0,,,,75,2,5,False,120308,Screen-Based,With Others
